player,player_name_original,role,batting_matches,runs,balls_faced,fours,sixes,dismissals,batting_average,strike_rate,bowling_matches,balls_bowled,wickets,runs_conceded,economy,bowling_average,base_price,sold_price,log_sold_price,runs_per_match
A Badoni,A Badoni,Batter,11,329,235,27,14,10,32.9,140,2,10,2,13,7.8,6.5,0,40000000,17.5,29.91
A Kamboj,A Kamboj,Bowler,5,14,13,2,0,2,7,107.69,8,130,8,173,7.98,21.63,3000000,34000000,17.34,2.8
A Manohar,A Manohar,Unknown,5,61,62,2,4,5,12.2,98.39,0,0,0,0,0,0,3000000,32000000,17.28,12.2
A Mhatre,A Mhatre,Batter,7,240,131,31,11,7,34.29,183.21,0,0,0,0,0,0,3000000,3000000,14.91,34.29
A Nortje,A Nortje,Unknown,0,0,0,0,0,0,0,0,2,45,1,87,11.6,87,20000000,65000000,17.99,0
A Raghuvanshi,A Raghuvanshi,Batter,11,300,217,30,8,9,33.33,138.25,0,0,0,0,0,0,3000000,30000000,17.22,27.27
A Zampa,A Zampa,Unknown,0,0,0,0,0,0,0,0,2,50,2,94,11.28,47,20000000,24000000,16.99,0
Abdul Samad,Abdul Samad,Batter,12,164,98,8,14,8,20.5,167.35,1,2,0,6,18,0,3000000,42000000,17.55,13.67
Abhishek Sharma,Abhishek Sharma,Batter,13,439,242,46,28,13,33.77,181.4,6,67,0,113,10.12,0,0,140000000,18.76,33.77
Abishek Porel,Abishek Porel,Batter,13,301,210,28,12,12,25.08,143.33,0,0,0,0,0,0,0,40000000,17.5,23.15
AD Russell,AD Russell,Allrounder,10,167,111,16,14,9,18.56,150.45,9,114,8,218,11.47,27.25,0,120000000,18.6,16.7
AK Markram,AK Markram,Batter,13,445,306,38,22,13,34.23,145.42,5,68,4,102,9,25.5,20000000,20000000,16.81,34.23
Akash Deep,Akash Deep,Bowler,2,6,2,0,1,1,6,300,6,127,3,230,10.87,76.67,3000000,13000000,18.2,3
Akash Madhwal,Akash Madhwal,Bowler,1,4,9,0,0,0,0,44.44,4,97,4,167,10.33,41.75,3000000,12000000,16.3,4
Akash Singh,Akash Singh,Bowler,0,0,0,0,0,0,0,0,3,67,4,99,8.87,24.75,3000000,3000000,14.91,0
AM Rahane,AM Rahane,Batter,12,390,275,36,20,11,35.45,141.82,0,0,0,0,0,0,15000000,15000000,16.52,32.5
Aniket Verma,Aniket Verma,Batter,12,236,148,12,20,9,26.22,159.46,0,0,0,0,0,0,3000000,3000000,14.91,19.67
AR Patel,AR Patel,Allrounder,11,263,171,23,15,10,26.3,153.8,12,219,5,314,8.6,62.8,0,165000000,18.92,23.91
Arshad Khan,Arshad Khan,Bowler,4,23,23,0,3,2,11.5,100,9,136,6,220,9.71,36.67,3000000,13000000,16.38,5.75
Arshdeep Singh,Arshdeep Singh,Bowler,2,2,6,0,0,1,2,33.33,15,343,21,492,8.61,23.43,20000000,180000000,19.01,1
AS Roy,AS Roy,Unknown,1,0,1,0,0,1,0,0,1,25,1,27,6.48,27,3000000,4000000,15.2,0
Ashutosh Sharma,Ashutosh Sharma,Batter,9,204,138,14,13,7,29.14,147.83,0,0,0,0,0,0,3000000,38000000,17.45,22.67
Ashwani Kumar,Ashwani Kumar,Bowler,0,0,0,0,0,0,0,0,7,132,11,234,10.64,21.27,3000000,3000000,14.91,0
Atharva Taide,Atharva Taide,Unknown,1,13,11,3,0,1,13,118.18,0,0,0,0,0,0,3000000,3000000,14.91,13
Avesh Khan,Avesh Khan,Bowler,4,21,14,3,1,1,21,150,13,294,13,487,9.94,37.46,20000000,97500000,18.4,5.25
Azmatullah Omarzai,Azmatullah Omarzai,Bowler,4,56,40,6,3,3,18.67,140,7,145,8,236,9.77,29.5,3000000,3000000,16.99,14
B Kumar,B Kumar,Bowler,6,14,26,1,0,3,4.67,53.85,14,318,17,490,9.25,28.82,20000000,107500000,18.49,2.33
B Sai Sudharsan,B Sai Sudharsan,Batter,15,759,509,88,21,14,54.21,149.12,0,0,0,0,0,0,0,85000000,18.26,50.6
BKG Mendis,BKG Mendis,Unknown,1,20,11,1,2,1,20,181.82,0,0,0,0,0,0,7500000,7500000,15.83,20
C Bosch,C Bosch,Unknown,2,47,32,3,3,2,23.5,146.88,2,45,1,56,7.47,56,7500000,7500000,15.83,23.5
C Sakariya,C Sakariya,Unknown,0,0,0,0,0,0,0,0,1,19,0,39,12.32,0,3000000,13000000,16.38,0
CV Varun,CV Varun,Bowler,1,1,1,0,0,0,0,100,13,308,17,390,7.6,22.94,0,120000000,18.6,1
D Brevis,D Brevis,Batter,6,225,129,13,17,6,37.5,174.42,0,0,0,0,0,0,0,22000000,16.91,37.5
D Ferreira,D Ferreira,Unknown,1,1,3,0,0,1,1,33.33,0,0,0,0,0,0,7500000,7500000,15.83,1
D Padikkal,D Padikkal,Batter,10,247,173,22,14,9,27.44,142.77,0,0,0,0,0,0,0,160000000,16.81,24.7
DA Miller,DA Miller,Batter,10,153,124,13,4,5,30.6,123.39,0,0,0,0,0,0,15000000,75000000,18.13,15.3
Dhruv Jurel,Dhruv Jurel,Batter,13,333,219,22,22,9,37,152.05,0,0,0,0,0,0,0,140000000,18.76,25.62
DJ Hooda,DJ Hooda,Unknown,5,31,43,2,1,5,6.2,72.09,1,7,0,15,12.86,0,7500000,17000000,16.65,6.2
DL Chahar,DL Chahar,Bowler,4,37,25,3,2,1,37,148,14,263,11,378,8.62,34.36,3000000,3500000,18.34,9.25
DP Conway,DP Conway,Batter,6,156,125,17,4,6,26,124.8,0,0,0,0,0,0,20000000,62500000,17.95,26
DS Rathi,DS Rathi,Bowler,1,1,4,0,0,1,1,25,13,321,14,435,8.13,31.07,3000000,3000000,14.91,1
E Malinga,E Malinga,Bowler,0,0,0,0,0,0,0,0,7,165,13,244,8.87,18.77,3000000,12000000,16.3,0
F du Plessis,F du Plessis,Batter,8,179,155,16,7,8,22.38,115.48,0,0,0,0,0,0,20000000,20000000,16.81,22.38
Fazalhaq Farooqi,Fazalhaq Farooqi,Unknown,1,2,2,0,0,0,0,100,5,104,0,211,12.17,0,20000000,20000000,16.81,2
G Coetzee,G Coetzee,Unknown,2,17,11,2,1,2,8.5,154.55,4,76,2,133,10.5,66.5,20000000,20000000,16.99,8.5
GJ Maxwell,GJ Maxwell,Bowler,6,48,54,5,1,6,8,88.89,6,82,4,111,8.12,27.75,2000000,20000000,17.55,8
H Klaasen,H Klaasen,Batter,13,487,294,42,25,11,44.27,165.65,0,0,0,0,0,0,0,230000000,19.25,37.46
Harpreet Brar,Harpreet Brar,Bowler,1,4,11,0,0,1,4,36.36,6,109,8,149,8.2,18.63,3000000,15000000,16.52,4
