 sr_no,    player_name,    base_price,   sold_price,,,,
1,Noor Ahmad ,20000000,100000000,,,,
2,R Ashwin,20000000,97500000,,,,
3,DP Conway,20000000,62500000,,,,
4,Syed Khaleel Ahmed,20000000,48000000,,,,
5,R Ravindra,15000000,40000000,,,,
6,A Kamboj,3000000,34000000,,,,
7,RA Tripathi,7500000,34000000,,,,
8,SM Curran,20000000,24000000,,,,
9,Gurjapneet Singh,3000000,22000000,,,,
10,NT Ellis,12500000,20000000,,,,
11,DJ Hooda,7500000,17000000,,,,
12,J Overton,15000000,15000000,,,,
13,V Shankar,3000000,12000000,,,,
14,Vansh Bedi,3000000,5500000,,,,
15,Andre Siddarth,3000000,3000000,,,,
16,Shreyas Gopal,3000000,3000000,,,,
17,Ramakrishna Ghosh,3000000,3000000,,,, 
18,Kamlesh Nagarkoti,3000000,3000000,,,,
19,Mukesh Choudhary,3000000,3000000,,,,
20,SK Rasheed,3000000,3000000,,,,
21,KL Rahul,20000000,140000000,,,,
22,MA Starc,20000000,117500000,,,,
23,T Natarajan,20000000,107500000,,,,
24,J Fraser-McGurk,20000000,90000000,,,,
25,Mukesh Kumar,20000000,80000000,,,,
26,Harry Brook ,20000000,62500000,,,,
27,Ashutosh Sharma,3000000,38000000,,,,
28,MM Sharma,5000000,22000000,,,,
29,F du Plessis,20000000,20000000,,,,
30,Sameer Rizvi,3000000,9500000,,,,
31,D Ferreira,7500000,7500000,,,,
32,Dushmantha Chameera ,7500000,7500000,,,,
33,V Nigam,3000000,5000000,,,,
34,KK Nair,3000000,5000000,,,,
35,M Tiwari,3000000,4000000,,,,
36,Tripurana Vijay,3000000,3000000,,,,
37,Manvanth Kumar L,3000000,3000000,,,,
38,Ajay Mandal,3000000,3000000,,,,
39,Darshan Nalkande,3000000,3000000,,,,
40,JC Buttler,20000000,157500000,,,,
41,Mohammed Siraj,20000000,122500000,,,,
42,K Rabada,20000000,107500000,,,,
43,M Prasidh Krishna,20000000,95000000,,,,
44,Washington Sundar,20000000,32000000,,,,
45,SE Rutherford,15000000,26000000,,,,
46,G Coetzee,12500000,24000000,,,,
47,Glenn Phillips ,20000000,20000000,,,,
48,R Sai Kishore,7500000,20000000,,,,
49,Mahipal Lomror,5000000,17000000,,,,
50,Gurnoor Singh Brar,3000000,13000000,,,,
51,Mohd. Arshad Khan,3000000,13000000,,,,
52,Karim Janat ,7500000,7500000,,,,
53,Jayant Yadav,7500000,7500000,,,,
54,I Sharma,7500000,7500000,,,,
55,Kumar Kushagra,3000000,6500000,,,,
56,K Khejroliya,3000000,3000000,,,,
57,Manav Suthar,3000000,3000000,,,,
58,Anuj Rawat,3000000,3000000,,,,
59,Nishant Sindhu,3000000,3000000,,,,
60,VR Iyer,20000000,237500000,,,,
61,A Nortje,20000000,65000000,,,,
62,Q de Kock,20000000,36000000,,,,
63,A Raghuvanshi,3000000,30000000,,,,
64,SH Johnson,20000000,28000000,,,,
